4,Airport ID,Name,City,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
DUJ,5734,DuBois Regional Airport,Du Bois,United States,KDUJ,41.17829895,-78.8986969,1817,-5.0,A,America/New_York,airport,OurAirports
EAU,5735,Chippewa Valley Regional Airport,Eau Claire,United States,KEAU,44.86579895019531,-91.48429870605469,913,-6.0,A,America/Chicago,airport,OurAirports
EKO,5736,Elko Regional Airport,Elko,United States,KEKO,40.82490158081055,-115.79199981689452,5140,-8.0,A,America/Los_Angeles,airport,OurAirports
EWB,5737,New Bedford Regional Airport,New Bedford,United States,KEWB,41.67610168457031,-70.95690155029297,80,-5.0,A,America/New_York,airport,OurAirports
FAY,5738,Fayetteville Regional Grannis Field,Fayetteville,United States,KFAY,34.991199493408196,-78.88030242919922,189,-5.0,A,America/New_York,airport,OurAirports
GGW,5739,Wokal Field Glasgow International Airport,Glasgow,United States,KGGW,48.2125015258789,-106.61499786376952,2296,-7.0,A,America/Denver,airport,OurAirports
GRI,5740,Central Nebraska Regional Airport,Grand Island,United States,KGRI,40.96749877929688,-98.30960083007812,1847,-6.0,A,America/Chicago,airport,OurAirports
HOT,5741,Memorial Field,Hot Springs,United States,KHOT,34.47800064086914,-93.09619903564452,540,-6.0,A,America/Chicago,airport,OurAirports
HTS,5742,Tri-State/Milton J. Ferguson Field,Huntington,United States,KHTS,38.36669922,-82.55799866,828,-5.0,A,America/New_York,airport,OurAirports
IRK,5744,Kirksville Regional Airport,Kirksville,United States,KIRK,40.09349822998047,-92.5448989868164,966,-6.0,A,America/Chicago,airport,OurAirports
LAR,5746,Laramie Regional Airport,Laramie,United States,KLAR,41.31209945678711,-105.6750030517578,7284,-7.0,A,America/Denver,airport,OurAirports
LBE,5747,Arnold Palmer Regional Airport,Latrobe,United States,KLBE,40.27590179,-79.40480042,1199,-5.0,A,America/New_York,airport,OurAirports
LBF,5748,North Platte Regional Airport Lee Bird Field,North Platte,United States,KLBF,41.12620163,-100.6839981,2777,-6.0,A,America/Chicago,airport,OurAirports
LEB,5749,Lebanon Municipal Airport,Lebanon,United States,KLEB,43.626098632799994,-72.30419921880002,603,-5.0,A,America/New_York,airport,OurAirports
LMT,5750,Klamath Falls Airport,Klamath Falls,United States,KLMT,42.15610122680664,-121.73300170898438,4095,-8.0,A,America/Los_Angeles,airport,OurAirports
LNS,5751,Lancaster Airport,Lancaster,United States,KLNS,40.12170028686523,-76.29609680175781,403,-5.0,A,America/New_York,airport,OurAirports
LYH,5753,Lynchburg Regional Preston Glenn Field,Lynchburg,United States,KLYH,37.326698303222656,-79.20040130615234,938,-5.0,A,America/New_York,airport,OurAirports
MKG,5754,Muskegon County Airport,Muskegon,United States,KMKG,43.16949844,-86.23819733,629,-5.0,A,America/New_York,airport,OurAirports
MSL,5756,Northwest Alabama Regional Airport,Muscle Shoals,United States,KMSL,34.74530029,-87.61019897,551,-6.0,A,America/Chicago,airport,OurAirports
OTH,5757,Southwest Oregon Regional Airport,North Bend,United States,KOTH,43.41709899902344,-124.24600219726562,17,-8.0,A,America/Los_Angeles,airport,OurAirports
OWB,5758,Owensboro Daviess County Airport,Owensboro,United States,KOWB,37.74010086,-87.16680145,407,-6.0,A,America/Chicago,airport,OurAirports
PIB,5759,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,KPIB,31.467100143432614,-89.33709716796875,298,-6.0,A,America/Chicago,airport,OurAirports
PIH,5760,Pocatello Regional Airport,Pocatello,United States,KPIH,42.9098014831543,-112.59600067138672,4452,-7.0,A,America/Denver,airport,OurAirports
PIR,5761,Pierre Regional Airport,Pierre,United States,KPIR,44.38270187,-100.2860031,1744,-6.0,A,America/Chicago,airport,OurAirports
PLN,5762,Pellston Regional Airport of Emmet County Airport,Pellston,United States,KPLN,45.57089996,-84.79669952,721,-5.0,A,America/New_York,airport,OurAirports
PSM,5763,Portsmouth International at Pease Airport,Portsmouth,United States,KPSM,43.0778999329,-70.8233032227,100,-5.0,A,America/New_York,airport,OurAirports
RHI,5765,Rhinelander Oneida County Airport,Rhinelander,United States,KRHI,45.63119888305664,-89.46749877929688,1624,-6.0,A,America/Chicago,airport,OurAirports
RKS,5766,Rock Springs Sweetwater County Airport,Rock Springs,United States,KRKS,41.59420013,-109.0650024,6764,-7.0,A,America/Denver,airport,OurAirports
RUT,5767,Rutland - Southern Vermont Regional Airport,Rutland,United States,KRUT,43.52939987,-72.94960022,787,-5.0,A,America/New_York,airport,OurAirports
SBP,5768,San Luis County Regional Airport,San Luis Obispo,United States,KSBP,35.2368011475,-120.64199829100001,212,-8.0,A,America/Los_Angeles,airport,OurAirports
SHR,5769,Sheridan County Airport,Sheridan,United States,KSHR,44.76919937133789,-106.9800033569336,4021,-7.0,A,America/Denver,airport,OurAirports
SLK,5770,Adirondack Regional Airport,Saranac Lake,United States,KSLK,44.38529968261719,-74.2061996459961,1663,-5.0,A,America/New_York,airport,OurAirports
SLN,5771,Salina Municipal Airport,Salina,United States,KSLN,38.79100036621094,-97.6521987915039,1288,-6.0,A,America/Chicago,airport,OurAirports
SMX,5772,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States,KSMX,34.89889908,-120.4570007,261,-8.0,A,America/Los_Angeles,airport,OurAirports
TUP,5773,Tupelo Regional Airport,Tupelo,United States,KTUP,34.26810073852539,-88.7698974609375,346,-6.0,A,America/Chicago,airport,OurAirports
UIN,5774,Quincy Regional Baldwin Field,Quincy,United States,KUIN,39.94269943,-91.19460297,768,-6.0,A,America/Chicago,airport,OurAirports
VCT,5775,Victoria Regional Airport,Victoria,United States,KVCT,28.85260009765625,-96.9185028076172,115,-6.0,A,America/Chicago,airport,OurAirports
VLD,5776,Valdosta Regional Airport,Valdosta,United States,KVLD,30.78249931335449,-83.27670288085938,203,-5.0,A,America/New_York,airport,OurAirports
WRL,5777,Worland Municipal Airport,Worland,United States,KWRL,43.9656982421875,-107.95099639892578,4227,-7.0,A,America/Denver,airport,OurAirports
YKM,5779,Yakima Air Terminal McAllister Field,Yakima,United States,KYKM,46.56819916,-120.5439987,1099,-8.0,A,America/Los_Angeles,airport,OurAirports
ECN,5780,Ercan International Airport,Nicosia,Cyprus,LCEN,35.15470123291016,33.49610137939453,404,2.0,E,Asia/Nicosia,airport,OurAirports
RJL,5781,Logroño-Agoncillo Airport,Logroño-Agoncillo,Spain,LELO,42.4609534888,-2.32223510742,1161,1.0,E,Europe/Madrid,airport,OurAirports
JSY,5787,Syros Airport,Syros Island,Greece,LGSO,37.422798156700004,24.950899124099998,236,2.0,E,Europe/Athens,airport,OurAirports
CVU,5793,Corvo Airport,Corvo,Portugal,LPCR,39.67150115966797,-31.11359977722168,0,-1.0,E,Atlantic/Azores,airport,OurAirports
BNX,5794,Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina,LQBK,44.94139862060547,17.297500610351562,400,1.0,E,Europe/Sarajevo,airport,OurAirports
KSY,5796,Kars Airport,Kars,Turkey,LTCF,40.562198638916016,43.1150016784668,5889,3.0,E,Europe/Istanbul,airport,OurAirports
KCM,5798,Kahramanmaraş Airport,Kahramanmaras,Turkey,LTCN,37.5388259888,36.9535217285,1723,3.0,E,Europe/Istanbul,airport,OurAirports
AJI,5799,Ağrı Airport,Agri,Turkey,LTCO,39.654541015625,43.025978088378906,5462,3.0,E,Europe/Istanbul,airport,OurAirports
ADF,5800,Adıyaman Airport,Adiyaman,Turkey,LTCP,37.7313995361,38.4688987732,2216,3.0,E,Europe/Istanbul,airport,OurAirports
